警察署	けいさつしょ	0	けいさつしょ	https://kotobank.jp/word/%E8%AD%A6%E5%AF%9F%E7%BD%B2-58802
連絡帳	れんらくちょう	0	れんらくちょう	https://kotobank.jp/word/%E9%80%A3%E7%B5%A1%E5%B8%B3-687819
部活動	ぶかつどう	0	ぶかつどう	https://kotobank.jp/word/%E9%83%A8%E6%B4%BB%E5%8B%95-616768
郵便局	ゆうびんきょく	0	ゆうびんきょく	https://kotobank.jp/word/%E9%83%B5%E4%BE%BF%E5%B1%80-144876
防災頭巾	ぼうさいずきん	0	ぼうさいずきん	https://kotobank.jp/word/%E9%98%B2%E7%81%BD%E9%A0%AD%E5%B7%BE-627547
集団登校	しゅうだんとうこう	0	しゅうだんとうこう	https://kotobank.jp/word/%E9%9B%86%E5%9B%A3%E7%99%BB%E6%A0%A1-527240
雨天順延	うてんじゅんえん	0	うてんじゅんえん	https://kotobank.jp/word/%E9%9B%A8%E5%A4%A9%E9%A0%86%E5%BB%B6-441011
電話番号	でんわばんごう	0	でんわばんごう	https://kotobank.jp/word/%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7-579145
非常食	ひじょうしょく	0	ひじょうしょく	https://kotobank.jp/word/%E9%9D%9E%E5%B8%B8%E9%A3%9F-610069
音楽会	おんがくかい	0	おんがくかい	https://kotobank.jp/word/%E9%9F%B3%E6%A5%BD%E4%BC%9A-455693
音楽室	おんがくしつ	0	おんがくしつ	https://kotobank.jp/word/%E9%9F%B3%E6%A5%BD%E5%AE%A4-2879172
駐車場	ちゅうしゃじょう	0	ちゅうしゃじょう	https://kotobank.jp/word/%E9%A7%90%E8%BB%8A%E5%A0%B4-97255
一遍	いっぺん	0	いっぺん	https://kotobank.jp/word/%E4%B8%80%E9%81%8D-31571
万歳	まんざい	1	まんざい,ばんざい,ばんぜい	https://kotobank.jp/word/%E4%B8%87%E6%AD%B3-137919
田舎者	いなかもの	0	いなかもの	https://kotobank.jp/word/%E7%94%B0%E8%88%8E%E8%80%85-435102
大勢	おおぜい	1	おおぜい,たいせい,たいぜい	https://kotobank.jp/word/%E5%A4%A7%E5%8B%A2-450100
額	がく	1	ひたい,がく,ぬか	https://kotobank.jp/word/%E9%A1%8D-460037
一時	いちじ	1	いちじ,いっとき,ひととき	https://kotobank.jp/word/%E4%B8%80%E6%99%82-433336
十一月	じゅういちがつ	0	じゅういちがつ	https://kotobank.jp/word/%E5%8D%81%E4%B8%80%E6%9C%88-3228034
十二月	じゅうにがつ	0	じゅうにがつ	https://kotobank.jp/word/%E5%8D%81%E4%BA%8C%E6%9C%88-3228042
